agency_id,agency_name,agency_url,agency_timezone,agency_phone,agency_lang
12,Hargla Masinaühistu,http://www.peatus.ee,Europe/Tallinn,+372 76 98 735,et
25,L&L Aktsiaselts,http://www.peatus.ee,Europe/Tallinn,+372 56612700,et
74,Vändra Karu Osaühing,http://www.vandrakarureis.ee,Europe/Tallinn,+372 4474757,et
100021,Karter OÜ,http://www.karter.ee,Europe/Tallinn,+372 4333364,et
100037,Forcen Grupp OÜ,http://www.forcen.ee,Europe/Tallinn,+372 5135279,et
100,Bussipartner OÜ,http://www.peatus.ee,Europe/Tallinn,+372 50 460 69,et
50,SEBE Aktsiaselts,http://www.sebe.ee,Europe/Tallinn,+372 6064969,et
100047,Atko Bussiliinid AS,http://www.peatus.ee,Europe/Tallinn,"",""
16,H-Liinid AS,http://www.hot.ee/tsbus,Europe/Tallinn,+372 5010815,et
31,MK Autobuss Aktsiaselts,http://www.mkautobuss.ee/,Europe/Tallinn,+372 55515316,et
289,Automen OÜ,http://www.automen.ee/,Europe/Tallinn,+372 7425725,et
171,Heiki Truuvelt,http://www.peatus.ee,Europe/Tallinn,+372 43 32556,et
100015,Rapla Bussipark OÜ,http://www.peatus.ee,Europe/Tallinn,+372 56248010,et
317,MK Reis-X OÜ,http://www.reis.ee,Europe/Tallinn,+372 5101872,et
117,Temptrans AS,http://www.temptrans.ee,Europe/Tallinn,+372 6006022,et
112,Vilandert OÜ,http://www.vilandert.ee,Europe/Tallinn,+372 50 94 043,et
82,ELRON,http://www.elron.ee,Europe/Tallinn,1447,et
6,Assotrans AS ,http://www.assotrans.ee,Europe/Tallinn,+372 3846231,et
100045,Liinamäe Reisid OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5046116,et
100010,StimReis Osaühing,http://www.peatus.ee,Europe/Tallinn,+372 5096798,et
185,Reinhald Pihlak,http://www.peatus.ee,Europe/Tallinn,+372 5147629,et
56,Tallinna Linnatranspordi AS,http://www.tallinnlt.ee/,Europe/Tallinn,+ 372 6509500,et
100030,Sirel Reisid OÜ,http://sirelreisid.com/,Europe/Tallinn,+372 5152849,et
99,Samat AS,http://www.samat.ee,Europe/Tallinn,+372 6779663,et
58,Tapa Autobussipark Osaühing,http://www.reisija.ee,Europe/Tallinn,+372 53300304,et
586,Võru Taksod OÜ,http://www.vtakso.ee,Europe/Tallinn,+372 7820002,et
100040,Askälä Grupp OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5293927,et
48,Sareta Aktsiaselts,http://www.sareta.ee,Europe/Tallinn,+372 45 33210,et
78,AS Lux Express Estonia,http://www.luxexpress.eu,Europe/Tallinn,+372 6813471,et
100036,PRESTO osaühing,http://www.presto.ee,Europe/Tallinn,4475177,et
33,Narva Bussiveod AS,http://www.nbv.ee,Europe/Tallinn,+372 3576601,et
869,Tõnu Tours OÜ,http://tonutours.onepagefree.com/,Europe/Tallinn,+372 56624522,et
494,Viimars OÜ,http://www.peatus.ee,Europe/Tallinn,+372 6109310,et
100043,Estonian Lines OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5188493,et
100031,Vahesaar OÜ,http://www.mkg.ee,Europe/Tallinn,+372 5205490,et
100050,Bus Transport Holding OÜ,http://www.peatus.ee,Europe/Tallinn,+487 97695596,et
227,MRP Linna Liinid OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5254747,et
711,Taub Grupp OÜ,http://www.taub.ee,Europe/Tallinn,+372 53541958,et
804,Esvil-Reisid AS,http://www.peatus.ee,Europe/Tallinn,+372 6004353,et
14,Harri Luht,http://www.peatus.ee,Europe/Tallinn,+372 5183662,et
0,Teadmata,http://www.peatus.ee,Europe/Tallinn,"",
